用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,上午8:40 - 2016年5月22日,喜欢,"Nick Larsen 的 Twitter: “@Nick_Craver @amazonecho well at least you didn&#39;t say add DP, might have gotten something else entirely”",0,1,1,https://twitter.com/fody/status/734408538076909568
Nick Craver,Twitter,下午6:09 - 2016年4月25日,喜欢,Homebrew 的 Twitter: “@Nick_Craver Having this input in advance would’ve been invaluable. Appreciate your thoughts though &amp; wish you all the best going forwards.”,0,1,1,https://twitter.com/machomebrew/status/724767429935648769
Nick Craver,Twitter,下午6:36 - 2016年3月22日,喜欢,"so-called developer 的 Twitter: “@haneycodes @GBrayUT @Nick_Craver ohh, what’s really gonna bake your noodle later on is… why did left-pad have three released versions? 😉”",0,13,2,https://twitter.com/adammaras/status/712452937184743425
Nick Craver,Twitter,下午4:01 - 2016年6月19日,喜欢,"ERSATZ DEVLOPER 的 Twitter: “OK @icmlconf, you&#39;re half forgiven for this Father&#39;s Day scheduling because I did get to see my Dad. https://t.co/qyr9JtK7Bz”",0,11,1,https://twitter.com/jasonpunyon/status/744666495192547328
Nick Craver,Twitter,下午7:44 - 2016年5月31日,喜欢,Matt Sherman 的 Twitter: “@aalear What do your detractors say?”,0,9,2,https://twitter.com/clipperhouse/status/737837258540257280
Nick Craver,Twitter,下午8:38 - 2016年5月13日,喜欢,"Roberta Arcoverde 的 Twitter: “@Nick_Craver &lt;3 it&#39;s working just fine, btw. Most of it. I might have fixed stuff, while introducing new tech debt. Or not.”",0,2,1,https://twitter.com/rla4/status/731327726431391744
Nick Craver,Twitter,上午4:36 - 2016年4月24日,喜欢,Nick Larsen 的 Twitter: “@Nick_Craver hashing? Seriously you should be more inclusive of people without the means to obtain proper nutrition”,0,1,1,https://twitter.com/fody/status/724200359971962884
Nick Craver,Twitter,下午2:40 - 2016年3月11日,喜欢,Jin Yang 的 Twitter: “@codinghorror @Nick_Craver @jc4p @sklivvz @jarrod_dixon https://t.co/K2Kgpe8W2W”,0,5,3,https://twitter.com/jzy/status/708422295778414593
Nick Craver,Twitter,上午11:34 - 2016年6月19日,喜欢,Jay Hanlon 的 Twitter: “@JasonPunyon I wish.  Must be pretty sweet being able to see OVER the seats.”,0,10,10,https://twitter.com/jayhanlon/status/744599276970459136
Nick Craver,Twitter,下午3:53 - 2016年5月30日,喜欢,ERSATZ DEVLOPER 的 Twitter: “https://t.co/qXUwZdpd9T”,0,13,3,https://twitter.com/jasonpunyon/status/737416562416586752
Nick Craver,Twitter,下午6:53 - 2016年5月12日,喜欢,Scott Hanselman 的 Twitter: “Read it later. https://t.co/PWWHBeaFPd https://t.co/2Owt9jOlbh”,0,95,18,https://twitter.com/shanselman/status/730938874906578944
Nick Craver,Twitter,上午6:59 - 2016年4月21日,喜欢,ERSATZ DEVLOPER 的 Twitter: “@Nick_Craver @rla4 How do you Don&#39;t leave your baggage unattended. in one of those?”,0,3,1,https://twitter.com/jasonpunyon/status/723149089446076419
Nick Craver,Twitter,下午6:37 - 2016年3月4日,喜欢,Matt Perdeck 的 Twitter: “Microsoft just published my chapter for the official #aspnetcore doco. Yeah! https://t.co/x5OVGizH5X https://t.co/KxOTmOVscI”,0,19,14,https://twitter.com/mattperdeck/status/705945288683319296
Nick Craver,Twitter,上午8:58 - 2016年6月19日,喜欢,Laura Dobrzynski 的 Twitter: “@df07 happy father&#39;s day!”,0,3,1,https://twitter.com/lauradobrzynski/status/744559981094113280
